YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
2000-01-01,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.1,2,0.079,1
2000-01-01,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-01,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-01,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,0.9,2,0.079,1
2000-01-01,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,0.9,2,0.079,1
2000-01-01,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.9,2,0.079,1
2000-01-01,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.8,2,0.079,1
2000-01-01,8:00,89.6,123.9,1,177,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,9,0.8,2,0.079,1
2000-01-01,9:00,85.2,130.1,118,1415,44,8,2,165,15,2,30,8,2,-9900,99,-9900,99,-9900,99,9,0.8,2,0.079,1
2000-01-01,10:00,78.1,142.0,293,1415,26,8,2,0,15,2,26,8,2,-9900,99,-9900,99,-9900,99,9,0.7,2,0.079,1
2000-01-01,11:00,72.6,155.1,423,1415,52,8,2,0,15,2,52,8,2,-9900,99,-9900,99,-9900,99,8,0.8,2,0.079,1
2000-01-01,12:00,69.4,169.2,498,1415,98,8,2,0,15,2,98,8,2,-9900,99,-9900,99,-9900,99,8,0.8,2,0.079,1
2000-01-01,13:00,68.8,184.0,512,1415,213,8,2,140,15,2,162,8,2,-9900,99,-9900,99,-9900,99,9,0.8,2,0.079,1
2000-01-01,14:00,70.8,198.5,465,1415,306,8,2,564,15,2,119,8,2,-9900,99,-9900,99,-9900,99,9,0.8,2,0.079,1
2000-01-01,15:00,75.3,212.1,360,1415,227,8,2,564,15,2,82,8,2,-9900,99,-9900,99,-9900,99,9,0.9,2,0.079,1
2000-01-01,16:00,81.7,224.5,204,1415,114,8,2,240,15,2,79,8,2,-9900,99,-9900,99,-9900,99,9,0.9,2,0.079,1
2000-01-01,17:00,87.8,233.6,33,837,2,8,2,58,15,2,1,8,2,-9900,99,-9900,99,-9900,99,10,0.9,2,0.079,1
2000-01-01,18:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.9,2,0.079,1
2000-01-01,19:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-01,20:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-01,21:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-01,22:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-01,23:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-01,24:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,1.0,2,0.079,1
2000-01-02,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,1.0,2,0.079,1
2000-01-02,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-02,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.0,2,0.079,1
2000-01-02,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.9,2,0.079,1
2000-01-02,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,0.9,2,0.079,1
2000-01-02,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.9,2,0.079,1
2000-01-02,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.9,2,0.079,1
2000-01-02,8:00,89.6,123.8,1,177,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,9,0.9,2,0.079,1
2000-01-02,9:00,85.2,130.0,118,1415,39,8,2,231,15,2,20,8,2,-9900,99,-9900,99,-9900,99,9,0.9,2,0.079,1
2000-01-02,10:00,78.0,141.8,293,1415,151,8,2,388,15,2,71,8,2,-9900,99,-9900,99,-9900,99,9,0.9,2,0.079,1
2000-01-02,11:00,72.6,154.9,424,1415,192,8,2,207,15,2,130,8,2,-9900,99,-9900,99,-9900,99,9,0.8,2,0.079,1
2000-01-02,12:00,69.3,169.1,499,1415,155,8,2,30,15,2,145,8,2,-9900,99,-9900,99,-9900,99,9,0.8,2,0.079,1
2000-01-02,13:00,68.7,183.8,514,1415,157,8,2,30,15,2,145,8,2,-9900,99,-9900,99,-9900,99,8,0.8,2,0.079,1
2000-01-02,14:00,70.7,198.4,468,1415,291,8,2,445,15,2,144,8,2,-9900,99,-9900,99,-9900,99,8,0.8,2,0.079,1
2000-01-02,15:00,75.1,212.0,363,1415,192,8,2,322,15,2,109,8,2,-9900,99,-9900,99,-9900,99,5,0.8,2,0.079,1
